Код;Название тарифа;Режим доставки*;Ограни-чение по весу;Групп услуг;Описание
136;Посылка склад-склад;склад-склад (С-С);до 30 кг.;Посылка;Услуга экономичной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. 
137;Посылка склад-дверь;склад-дверь (С-Д);до 30 кг.;Посылка;Услуга экономичной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. 
138;Посылка дверь-склад;дверь-склад (Д-С);до 30 кг.;Посылка;Услуга экономичной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. 
139;Посылка дверь-дверь;дверь-дверь (Д-Д);до 30 кг.;Посылка;Услуга экономичной доставки товаров по России для компаний, осуществляющих дистанционную торговлю. 
1;Экспресс лайт дверь-дверь;дверь-дверь (Д-Д);до 30 кг;Экспресс;Классическая экспресс-доставка по России документов и грузов до 30 кг.
3;Супер-экспресс до 18;дверь-дверь (Д-Д);;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу.
5;Экономичный экспресс склад-склад;склад-склад (С-С);;Экономичная доставка;Недорогая доставка грузов по России ЖД и автотранспортом (доставка грузов с увеличением сроков).
10;Экспресс лайт склад-склад;склад-склад (С-С);до 30 кг;Экспресс;Классическая экспресс-доставка по России документов и грузов. 
11;Экспресс лайт склад-дверь;склад-дверь (С-Д);до 30 кг;Экспресс;Классическая экспресс-доставка по России документов и грузов. 
12;Экспресс лайт дверь-склад;дверь-склад (Д-С);до 30 кг;Экспресс;Классическая экспресс-доставка по России документов и грузов. 
15;Экспресс тяжеловесы склад-склад;склад-склад (С-С);от 30 кг;Экспресс;Классическая экспресс-доставка по России грузов. 
16;Экспресс тяжеловесы склад-дверь;склад-дверь (С-Д);от 30 кг;Экспресс;Классическая экспресс-доставка по России грузов. 
17;Экспресс тяжеловесы дверь-склад;дверь-склад (Д-С);от 30 кг;Экспресс;Классическая экспресс-доставка по России грузов. 
18;Экспресс тяжеловесы дверь-дверь;дверь-дверь (Д-Д);от 30 кг;Экспресс;Классическая экспресс-доставка по России грузов. 
57;Супер-экспресс до 9;дверь-дверь (Д-Д);до 5 кг;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).
58;Супер-экспресс до 10;дверь-дверь (Д-Д);до 5 кг;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).
59;Супер-экспресс до 12;дверь-дверь (Д-Д);до 5 кг;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).
60;Супер-экспресс до 14;дверь-дверь (Д-Д);до 5 кг;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).
61;Супер-экспресс до 16;дверь-дверь (Д-Д);;Срочная доставка;Срочная доставка документов и грузов «из рук в руки» по России к определенному часу (доставка за 1-2 суток).
62;Магистральный экспресс склад-склад;склад-склад (С-С);;Экономичная доставка;Быстрая экономичная доставка грузов по России
63;Магистральный супер-экспресс склад-склад;склад-склад (С-С);;Экономичная доставка;Быстрая экономичная доставка грузов к определенному часу
